,text,label
1521,หล่อโว้ยยยยยยยยย สมราคา ยี่ห้อกงยู 10 10 10 สมการรอคอย  ,pos
651,ดูแค่หนังอาจยังไม่จุใจ! Netflix เตรียมปล่อย Podcast ‘The Last Movie Ever Made’ เล่าเบื้องหลังการถ่ายทำภาพยนตร์  ทั้งหมด 6 อีพี โดยผู้กำกับและเหล่านักแสดง เริ่มออกอากาศตอนแรกวันที่ 7 มกราคมนี้ แฟนๆรอฟังกันได้เลย 💚🎧 ,neu
1357,ไม่ชินกะพี่ไผ่ผมยาวเลยอ่ะ 🤣 ตามดูเพราะคุณเค้าเลยนะเนี่ย  ,pos
1171,ช่วยด้วย วันนี้พี่กงยูเท่มากกกกกกกก 😍  ,pos
867,ดู  จบแล้วทำให้ความอยากมีแฟนเพิ่มขึ้น 100 เท่าเลย เขินตัวบิดไปครึ่งเรื่องละ อ้ายแวนน่าฮักอะ ดูอบอุ่น 😍,pos
2090, คือโคตรดีจริง นี่คือตอนจบที่อยากให่เกิดขึ้นกับโลกจริงๆ 555555 แต่ต้องยอมรับว่าเป็นการเสียดสีที่ไม่ดูเซอร์เรียลไปและอาจเกิดขึ้นได้จริง ชอบมาก,pos
2719,โง่ดว้ย,neg
3366,อิNetflixเกาหลี หร่อนมาหาโพสแบบนี้ อย่าจัดcategoryแบบนี้ ใจไม่ดี!!! ฮือออ แล้วคือแต่ล่ะเรื่องที่เอามาเทียบ!! ความหวังอันน้อยนิดของกู มันจะไม่ไหวแล้ว😭😭😭  ,neu
1427,จบแล้วววว  อีพีสุดท้ายสนุกสุด55555555,pos
2255, ยอดหนังสายแซะ นักวิทย์พบดาวหางจะชนโลกในอีก 6 เดือน แจ้งนักการเมืองก็สนแต่คะแนนเสียง เข้าหาสื่อก็สนแค่นักวิทย์หน้าตาดีมั้ยข่าวจะดราม่าหรือเปล่า แม้ในเวลาที่มนุษยชาติเตรียมสูญพันธ์ดาราชั้นนำเพียบ นึกว่างานการกุศล และดูแล้วนึกถึง Climate Change ,pos
898,ฉากซึ้งๆ แม่ชั้นหัวเราะ เพราะพระเอก นั่งรถแห่ไม้ก้ำมาตามนางเอก 555555555  ,neu
3296,คอนเทนต์ netflix หรือ swoon คือหมดแล้วหรออคะ หรือเพราะไม่ใช่ออริจินัลเนตฟลิก หรือมีแค่นั้นก็คือปกติแล้ว 555555555 พสจะอยู่ต่อไปอีก1วีคได้อย่างไรงะ 🤦‍♀️ ,neu
2873,วันนี้ชมส้มป่อยได้ทางNetflixแล้วน๊าไปให้กำลังใจส้มป่อยกะอ้ายแซ้ปกันจ้ะ    @Tee_Jaruji @namtarnpich ,neu
786,แค่การใช้สายตาสื่ออารมณ์ก็กินขาดแล้วอะสายตาว่างเปล่า สับสน สิ้นหวังคิมซูฮยอนเอารางวัลไปปปปปป 👏👏👏 ,pos
2459,สนุกมาก ชอบๆ แต่ตัดจบแบบฉับ!! 55555555 ,pos
561,เศร้าว่ะ แต่ค่อด real เพลงเพราะมากก ,pos
3434,ซีรีส์นี้,neu
1448, จะมีซซ.2มั้ย ยังอยากรู้ต่อไปว่ารัฐบาลจะจัดการกับน้ำดวงจันทร์ยังไงลูน่าเป็นไงต่อ สรุปแล้วโลกจะกับมามีน้ำใช้แบบเดิมไหม อยากดูอีกอะ,neu
3485,เหมือนจะดี,neg
3061,รักวัยมัธยมมันสดใส พอโตแล้วอึมครึมไม่หยุดเลย ก็คือจริงมาก ,pos
419,สรุปคุณกงยูตายมั้ย กูคนเดียวรึป่าวที่งง รับบทเสียสละ รับบทพ่อพระมาโดยตลอด😭 ,neu
230,เรื่องนี้ดีแบบไม่รู้จะดียังไงแล้ว จะว่าอวยก็ได้ แต่มันไม่เกินจริงเลย สถานที่เอย เนื้อเรื่องเอย นักแสดงทุกคน อยากขอบคุณผู้จัด ทีมงานทุกคน ที่ช่วยกันสร้างจนมันเกิดขึ้นมาเป็นเรื่องเรื่องนี้,pos
3339,แล้วเรื่องนี้นะ ดูไปเรื่อยๆโคตรอึดอัดเลยอ่ะ แล้วแบบมันถ่ายทอดความสัมพันธ์ของความรักได้เรียบเว่อ ใครๆก็เคยบอกเลิกแฟนเพราะเหตุผลเดียวกับยอนซู ใครๆก็เห็นเสียใจจนกินไม่ได้นอนไม่หลับ ป่วย เป็นโรคนอนไม่หลับแบบชเวอุง ใครๆก็เคยแอบชอบคนนึงๆมานานมากๆแบบจีอุง เรียลมาก ,pos
3146,ถ้ามีคนถามว่าเป้าหมายปี 2022 คืออะไร  ,neu
3049,นี่ฉันแอบรักนายข้างเดียวสินะ - ยอนซู😭😭😭😭😭😭 ,neu
1579,"2021.12.28 ซีรีส์ออนิจินัลเน็ตฟลิกซ์  "" "" ขึ้นเป็นอันดับ 3 ในหมวดรายการทีวีเน็ตฟลิกซ์ทั่วโลก ",pos
1261, บทไม่ค่อยส่งนักแสดง แอบเสียดายตัวท้อปๆทั้งนั้น พลอตดูคิดมาดี เล่นกะเรื่องขาดแคลนน้ำ มนุษยธรรม (ซึ่งมันขยี้ได้อีกถ้าตัดความเอื่อยช่วงแรก) สามตอนแรกปูเรื่องนานมั้ย พอหลังๆเริ่มมีให้คิดตามบ้าง ลุ้นบ้าง ไซไฟอ่าเนอะ ที่ประทับใจสุดคืองานภาพ งานฉาก งานพรอพดีมากจริงๆ,neg
